site_code,trt,plot,block,cover_year,Sample_ID,N,P,K,Exclose,Rootsgperm2,pH_rootsample
gilb.za,NPK,1,1,2012,841,1,1,1,0,299.3270421,4.93
gilb.za,NK,7,1,2012,847,1,0,1,0,280.089721,4.84
gilb.za,NP,24,3,2012,864,1,1,0,0,969.6217806,5.58
gilb.za,NK,29,3,2012,869,1,0,1,0,916.7140888,5.14
gilb.za,NPK+Fence,18,2,2012,858,1,1,1,1,2407.766081,5.26
gilb.za,NPK,11,2,2012,851,1,1,1,0,1219.204542,5.57
gilb.za,Fence,15,2,2012,855,0,0,0,1,2339.811335,5.43
gilb.za,N,16,2,2012,856,1,0,0,0,942.3273076,5.21
gilb.za,NP,2,1,2012,842,1,1,0,0,336.4093045,5.27
gilb.za,K,9,1,2012,849,0,0,1,0,226.2345724,5.42
gilb.za,NK,20,2,2012,860,1,0,1,0,1850.258476,5.11
gilb.za,N,3,1,2012,843,1,0,0,0,376.8541118,5.43
gilb.za,Control,6,1,2012,846,0,0,0,0,978.4800371,5.48
gilb.za,NPK+Fence,4,1,2012,844,1,1,1,1,436.7813034,5.65
gilb.za,N,23,3,2012,863,1,0,0,0,3167.665905,5.1
gilb.za,P,22,3,2012,862,0,1,0,0,952.6381192,5.7
gilb.za,Fence,28,3,2012,868,0,0,0,1,1280.641753,5.4
gilb.za,PK,21,3,2012,861,0,1,1,0,1404.340625,5.15
gilb.za,K,12,2,2012,852,0,0,1,0,455.6119102,5.45
gilb.za,NPK,27,3,2012,867,1,1,1,0,600.1509382,5.38
gilb.za,NPK+Fence,30,3,2012,870,1,1,1,1,1063.920581,5.61
gilb.za,Control,26,3,2012,866,0,0,0,0,1560.053798,5.38
gilb.za,PK,5,1,2012,845,0,1,1,0,573.9270577,5.41
gilb.za,Control,14,2,2012,854,0,0,0,0,1073.199108,5.51
gilb.za,PK,19,2,2012,859,0,1,1,0,3110.979809,5.29
gilb.za,K,25,3,2012,865,0,0,1,0,923.9936283,5.27
gilb.za,Fence,8,1,2012,848,0,0,0,1,314.5349859,5.63
hall.us,P,25,3,2011,1085,0,1,0,0,122.8571429,NA
hall.us,K,30,3,2011,1090,0,0,1,0,89.1460512,5.75
hall.us,P,4,1,2011,1064,0,1,0,0,72.92839997,5.7
hall.us,N,10,1,2011,1070,1,0,0,0,53.35717769,5.79
hall.us,NP,1,1,2011,1061,1,1,0,0,87.61653091,5.2
hall.us,NP,29,3,2011,1089,1,1,0,0,60.2113037,5.14
hall.us,NPK+Fence,17,2,2011,1077,1,1,1,1,46.71399639,4.68
hall.us,PK,6,1,2011,1066,0,1,1,0,61.2132611,5.46
hall.us,NPK+Fence,23,3,2011,1083,1,1,1,1,105.5667009,5.05
hall.us,Control,26,3,2011,1086,0,0,0,0,52.69917582,5.81
hall.us,Control,3,1,2011,1063,0,0,0,0,115.3727523,5.6
